                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.94372,                 1.9554,                0.64403,                 1.1644,                0.82611,                0.82746,                0.89547,                0.60699,                0.83076,                0.83099,                0.90297,                0.53604,                 1.1294,                 2.1129,                0.70609,                 1.3595,              0.0015644,              0.0015644,              0.0015644
                     25,                0.95316,                 1.9177,                0.60816,                  1.184,                0.80317,                0.87324,                0.89841,                 0.6049,                0.79993,                0.86972,                0.89217,                0.51933,                 1.1585,                 2.2422,                0.73356,                  1.353,              0.0015446,              0.0015446,              0.0015446
                     26,                0.92712,                   1.93,                0.59701,                 1.1646,                0.79292,                0.85915,                0.88577,                  0.602,                0.80018,                0.86011,                0.88323,                0.52633,                 1.1658,                 2.1863,                0.75209,                 1.3586,              0.0015248,              0.0015248,              0.0015248
                     27,                0.95579,                 1.9374,                0.61728,                 1.1685,                0.79316,                 0.8169,                0.86928,                0.59545,                0.79626,                 0.8169,                0.86134,                0.52348,                 1.1224,                 2.1924,                0.75955,                 1.3388,               0.001505,               0.001505,               0.001505
                     28,                0.91273,                 1.9201,                0.61007,                 1.1665,                0.84643,                0.81513,                0.89373,                0.61262,                0.86044,                0.80634,                0.88313,                0.52732,                 1.1521,                 2.1702,                0.70866,                 1.3666,              0.0014852,              0.0014852,              0.0014852
                     29,                0.89203,                 1.9089,                0.57842,                 1.1297,                0.86186,                0.81338,                0.89064,                0.60724,                0.87891,                0.79577,                0.88442,                 0.5371,                  1.131,                 2.1342,                0.70728,                 1.3449,              0.0014654,              0.0014654,              0.0014654
                     30,                0.89131,                 1.8769,                0.56474,                 1.1113,                0.81438,                0.82394,                0.88299,                0.60454,                0.84506,                0.78741,                0.87935,                0.52224,                 1.1635,                  2.141,                0.71812,                 1.3743,              0.0014456,              0.0014456,              0.0014456
                     31,                0.91941,                 1.8526,                0.57522,                 1.1252,                0.81877,                0.80282,                0.85901,                0.57725,                0.83372,                0.81212,                0.86318,                0.51674,                 1.2393,                 2.1818,                0.78131,                 1.4822,              0.0014258,              0.0014258,              0.0014258
                     32,                 0.9018,                 1.8709,                0.54091,                 1.1019,                0.82621,                0.81338,                0.87678,                0.58205,                0.82978,                 0.8169,                0.87728,                0.51964,                   1.23,                 2.2039,                0.76267,                 1.4581,               0.001406,               0.001406,               0.001406
                     33,                  0.874,                 1.8891,                0.55388,                 1.0984,                0.87965,                0.80634,                0.88851,                 0.5892,                0.87965,                0.80634,                0.88884,                0.53231,                 1.1748,                 2.1213,                0.73599,                 1.3874,              0.0013862,              0.0013862,              0.0013862
                     34,                 0.8876,                  1.863,                0.54914,                  1.128,                0.85903,                0.82746,                0.88991,                0.59158,                0.86967,                0.82746,                0.89335,                0.53305,                 1.1651,                 2.1234,                0.75163,                 1.3777,              0.0013664,              0.0013664,              0.0013664
                     35,                0.86684,                 1.8099,                0.54164,                 1.0944,                0.85167,                0.80282,                0.88752,                 0.5915,                0.86583,                0.78873,                 0.8818,                0.52677,                 1.1932,                 2.1647,                 0.7396,                 1.4041,              0.0013466,              0.0013466,              0.0013466
                     36,                 0.8731,                 1.8908,                0.54251,                 1.1064,                0.85558,                0.83442,                0.90283,                0.60583,                0.86389,                0.82042,                0.89118,                0.53038,                 1.1877,                 2.1933,                 0.7026,                 1.4191,              0.0013268,              0.0013268,              0.0013268
                     37,                0.84017,                 1.8483,                0.53526,                 1.1012,                0.91302,                0.81317,                0.92062,                0.62575,                0.90102,                0.80135,                0.90486,                0.54033,                 1.1653,                 2.2213,                0.68149,                 1.4036,               0.001307,               0.001307,               0.001307
                     38,                0.85417,                 1.8336,                0.53136,                 1.0899,                0.85945,                0.81817,                 0.9039,                0.60757,                0.90616,                  0.816,                0.90916,                0.52368,                  1.158,                 2.1784,                0.69204,                 1.4046,              0.0012872,              0.0012872,              0.0012872
                     39,                0.80755,                 1.7989,                0.49814,                 1.0889,                0.84803,                0.84507,                0.90542,                0.62762,                0.84228,                0.84507,                0.90853,                0.53697,                 1.1342,                 2.1172,                0.66153,                 1.3978,              0.0012674,              0.0012674,              0.0012674
                     40,                0.81111,                 1.7904,                0.48402,                  1.069,                0.85981,                0.84507,                0.90982,                0.62128,                0.84961,                0.81561,                0.89856,                0.53102,                 1.1285,                 2.1627,                0.67824,                 1.3827,              0.0012476,              0.0012476,              0.0012476
                     41,                0.81917,                 1.7643,                0.49452,                 1.0955,                0.84176,                0.84155,                0.89462,                0.61727,                0.84384,                0.84155,                 0.8911,                0.53412,                 1.1052,                 2.1558,                0.68394,                 1.3619,              0.0012278,              0.0012278,              0.0012278
                     42,                0.79854,                 1.7976,                0.47247,                 1.0552,                0.90164,                0.77462,                0.90364,                 0.6238,                0.89866,                0.78059,                0.89777,                0.54249,                 1.1022,                 2.1417,                0.66705,                 1.3669,               0.001208,               0.001208,               0.001208
                     43,                0.80873,                 1.7447,                0.47588,                 1.0579,                0.83479,                0.84155,                0.90237,                0.61758,                 0.8394,                0.82814,                0.88407,                0.54703,                 1.1434,                 2.1328,                0.67453,                 1.3947,              0.0011882,              0.0011882,              0.0011882
                     44,                  0.805,                 1.7583,                0.47206,                 1.0688,                0.82006,                0.82746,                0.89414,                 0.6075,                0.82628,                0.83099,                0.87677,                0.52923,                 1.1339,                 2.1781,                0.69379,                 1.3981,              0.0011684,              0.0011684,              0.0011684
